Barcode ID,Item ID,Supply Name,Quantity Per Case,Base Price,Instock,Cap
10036000177135,0102100,Cottonellel | Toilet Paper,60.00,72.92,10.00,25.00
10036000018049,0102200,Scott |Multi-Fold,16.00,38.75,22.00,30.00
10036000256373,0102325,Scott |  Plus Hard Roll Towel,6.00,97.86,8.00,10.00
10073310296163,0103500,Brawny | Yellow Dusting Cloth,4.00,23.62,5.00,3.00
088639005009,0109011,Roses | Bath Tissue,96.00,46.95,4.00,0.00
10075289022231,0117000,HOSPECO | Waxed Paper Liner,250.00,37.94,2.00,4.00
NA,0201202,High Density Can Liner 30 x 37 | Natural,10.00,24.95,19.00,15.00
NA,0201454,High Density Can Liner 38 x 60 | Black,16.00,34.50,20.00,15.00
850038024123,0315041,Fresh Wave | Urinal Screen,10.00,22.50,5.00,5.00
079920542259,0409006,White Pearl | Hand Soap,4.00,30.00,4.00,4.00
071206009012,0304066,Stearns | Mark E II Disinfectant,144.00,74.95,2.00,3.00
071206009975,0304101,Stearns | Restroom & Bowl Liquid,72.00,65.98,3.00,3.00
071206084002,0304125,Stearns | Window Cleaner Concentrate,48.00,25.95,2.00,4.00
071206084507,0304131,Stearns | Neutral Cleaner Concentrate,144.00,58.95,2.00,3.00
NA,0316010,MaxxPro| Stainless Steel Cleaner,12.00,73.56,1.00,1.00
727351400036,0324001,Pure Bright | Germicidal Ultra Bleach,6.00,24.00,1.00,2.00
NA,0346063,MaxxPro | Mild Acid Cleaner,12.00,39.00,1.00,1.00
NA,0346263,MaxxPro | Blue HDC Cleaner ,4.00,50.00,2.00,2.00
021883521154,0351213,Nilodor | Shampoo & Bonnet Cleaner,4.00,83.80,1.00,2.00
021883031066,0351350,Nilodor | Deodorizer Original,6.00,67.50,0.00,2.00
10072627001569,0501310,O Cedar |End Mop Medium,12.00,71.40,4.00,2.00
M915107B,05041151,Monarch SmartChoice | Microfiber Cloth Blue,15.00,147.00,1.00,1.00
M915107Y,05041181,Monarch SmartChoice | Microfiber Cloth Yellow,15.00,180.00,1.00,1.00
0100097604925037,0707103,Tronex |Large Blue Exam Glove ,10.00,60.00,3.00,0.00
0100097604938822,0707202,Tronex | Medium Black Exam Glove,10.00,70.00,2.00,2.00
NA,0707203,Tronex | Large Black Exam Glove,10.00,70.00,0.00,2.00
