Date,Description,Debit,Credit,Cards,Purchase Type,Transaction Type,Monthly
3/4/2023,7 Days Food Store,35.08,0,1,Groceries,B,N
1/1/2023,7-eleven,52.03,0,1,Gas,B,N
1/2/2023,Chevron,52.09,0,2675,Gas,B,N
1/3/2023,7-eleven,0.22,0,2675,Gas,B,N
1/3/2023,7-eleven,51.82,0,2675,Gas,B,N
1/3/2023,7-eleven,12.44,0,3341,Gas,B,N
1/3/2023,ATM,700,0,9031,Withdrawal,B,N
1/3/2023,Randalls Fuel,52.96,0,9031,Gas,B,N
1/3/2023,Walgreens,36.39,0,9031,Medical,B,N
1/4/2023,Circle K,16.63,0,9031,Gas,B,N
1/4/2023,Fee,118.33,0,0,Fee,B,N
1/4/2023,Fee,1.88,0,718,Fee,B,N
1/4/2023,Jack Brown Cleaners,33.07,0,9031,Professional Service,P,N
1/4/2023,Sana Vida Wellness,149,0,9031,Medical,B,N
1/4/2023,Venmo,300,0,0,Withdrawal,B,N
1/5/2023,7-eleven,61.35,0,3341,Gas,B,N
1/5/2023,Luxury Auto Works,3639.34,0,1,Auto Maintenance,B,N
1/7/2023,Walgreens,21.98,0,9031,Medical,B,N
1/8/2023,Circle K,40.28,0,718,Gas,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Randalls Fuel,91.95,0,2675,Gas,B,N
1/8/2023,Walgreens,107.32,0,9031,Medical,B,N
1/8/2023,Walgreens,33.99,0,9031,Medical,B,N
1/9/2023,Fee,69.36,0,0,Fee,B,N
1/10/2023,Amercian Bolt Company,79.73,0,3341,Professional Service,B,N
1/10/2023,Autozone,54.1,0,2675,Auto Maintenance,B,N
1/10/2023,Fee,33,0,0,Fee,B,N
1/10/2023,Hitechpower,212.5,0,718,Professional Service,B,N
1/10/2023,Hitechpower,292.18,0,718,Professional Service,B,N
1/10/2023,Randalls Fuel,44.96,0,9031,Gas,B,N
2/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
1/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
1/11/2023,7-eleven,15.89,0,3341,Gas,B,N
1/30/2023,Allstate,1402.26,0,1,Insurance,B,Y
1/30/2023,Allstate,182.07,0,9031,Insurance,B,Y
2/28/2023,Ally,509.98,0,0,Loan,B,Y
1/27/2023,Ally,509.98,0,0,Loan,B,N
1/17/2023,Amazon,21.63,0,9031,Supplies,B,N
1/15/2023,Amazon,43.29,0,9031,Supplies,B,N
1/15/2023,Amazon,46.53,0,9031,Supplies,B,N
1/11/2023,Colorado County,16.8,0,3341,Fee,B,N
3/1/2023,American Express,495.74,0,0,Credit Card,B,Y
2/1/2023,American Express,519.5,0,0,Credit Card,B,Y
2/13/2023,American Express,520.03,0,0,Credit Card,B,Y
2/13/2023,American Express,398,0,0,Credit Card,B,Y
2/22/2023,American Express,495.74,0,0,Credit Card,B,Y
2/22/2023,American Express,329,0,0,Credit Card,B,Y
1/25/2023,American Express,535.8,0,0,Credit Card,B,Y
1/24/2023,American Express,329,0,0,Credit Card,B,Y
1/11/2023,American Express,495.64,0,0,Credit Card,B,Y
1/11/2023,American Express,398,0,0,Credit Card,B,Y
3/4/2023,Apple,14.06,0,718,Software,B,Y
3/4/2023,Apple,31.36,0,9031,Software,B,Y
2/2/2023,Apple,14.06,0,718,Software,B,Y
2/9/2023,Apple,2.99,0,718,Software,B,Y
2/11/2023,Apple,7.57,0,9031,Software,B,Y
2/20/2023,Apple,22.71,0,9031,Software,B,Y
2/22/2023,Apple,0,10.81,9031,Revenue,B,Y
2/24/2023,Apple,7.57,0,9031,Software,B,Y
2/26/2023,Apple,9.99,0,9031,Software,B,Y
1/31/2023,Apple,31.36,0,9031,Software,B,Y
1/26/2023,Apple,9.99,0,9031,Software,B,Y
1/26/2023,Apple,7.57,0,9031,Software,B,Y
1/26/2023,Apple,11.9,0,9031,Software,B,Y
1/11/2023,Apple,7.57,0,9031,Software,B,Y
1/8/2023,Apple,8.65,0,9031,Software,B,Y
1/5/2023,Apple,2.99,0,718,Software,B,Y
1/1/2023,Apple,14.06,0,718,Software,B,Y
2/17/2023,AT&T,80.42,0,0,Phones/Internet,B,N
2/19/2023,AT&T,55.73,0,9031,Phones/Internet,B,N
2/19/2023,AT&T,111.97,0,9031,Phones/Internet,B,N
2/24/2023,AT&T,34.63,0,9031,Phones/Internet,B,N
2/27/2023,AT&T,194.6,0,9031,Phones/Internet,B,N
2/28/2023,AT&T,803.56,0,0,Phones/Internet,B,N
1/27/2023,AT&T,796.55,0,0,Phones/Internet,B,N
1/17/2023,AT&T,80,0,0,Phones/Internet,B,Y
1/14/2023,AT&T,40.84,0,9031,Phones/Internet,B,N
1/5/2023,AT&T,74.15,0,0,Phones/Internet,B,Y
1/11/2023,Colorado County,336,0,3341,Fee,B,N
1/12/2023,7-eleven,88.64,0,2675,Gas,B,N
1/12/2023,Green Clean Certified,580,0,1,Professional Service,B,N
1/12/2023,H-E-B Gas,56.82,0,1,Gas,B,N
1/13/2023,7-eleven,39.36,0,3341,Gas,B,N
1/13/2023,Circle K,17.79,0,9031,Gas,B,N
1/14/2023,7-eleven,115.32,0,9031,Gas,B,N
1/14/2023,ATM,303.75,0,3341,Withdrawal,B,N
3/3/2023,Bank of America,877.05,0,0,Credit Card,B,Y
2/3/2023,Bank of America,877.05,0,0,Credit Card,B,Y
1/5/2023,Bank of America,877.05,0,0,Credit Card,B,Y
2/11/2023,BBB,80,0,3341,Marketing,B,Y
1/11/2023,BBB,80,0,3341,Marketing,B,Y
1/14/2023,ATM,200,0,2675,Withdrawal,B,N
1/10/2023,Business Insurance,1982.5,0,0,Insurance,B,Y
3/3/2023,Capital One,400,0,0,Credit Card,B,Y
2/3/2023,Capital One,400,0,0,Credit Card,B,Y
2/15/2023,Capital One,500,0,0,Credit Card,B,Y
1/17/2023,Capital One,500,0,0,Credit Card,B,Y
1/3/2023,Capital One,400,0,0,Credit Card,B,Y
2/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
1/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
