Date,Description,Debit,Credit,Cards,Purchase Type,Transaction Type,Monthly
1/10/2023,Autozone,54.1,0,2675,Auto Maintenance,B,N
1/17/2023,Big Red Express,15,0,3341,Auto Maintenance,B,N
1/14/2023,Llano Co Tx Motor,574.75,0,3341,Auto Maintenance,B,N
1/5/2023,Luxury Auto Works,3639.34,0,1,Auto Maintenance,B,N
1/11/2023,American Express,495.64,0,0,Credit Card,B,Y
1/11/2023,American Express,398,0,0,Credit Card,B,Y
1/5/2023,Bank of America,877.05,0,0,Credit Card,B,Y
1/17/2023,Capital One,500,0,0,Credit Card,B,Y
1/3/2023,Capital One,400,0,0,Credit Card,B,Y
1/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
1/6/2023,Crate & Barrel,147,0,0,Credit Card,B,Y
1/17/2023,Discover,500,0,0,Credit Card,B,Y
1/13/2023,Discover,186.56,0,0,Credit Card,B,Y
1/11/2023,Colorado County,16.8,0,3341,Fee,B,N
1/11/2023,Colorado County,336,0,3341,Fee,B,N
1/14/2023,Fee,1,0,3341,Fee,B,N
1/14/2023,Fee,17.24,0,3341,Fee,B,N
1/10/2023,Fee,33,0,0,Fee,B,N
1/9/2023,Fee,69.36,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/8/2023,Fee,34,0,0,Fee,B,N
1/4/2023,Fee,118.33,0,0,Fee,B,N
1/4/2023,Fee,1.88,0,718,Fee,B,N
1/15/2023,Chick-Fil-A,9.36,0,9031,Food,P,N
1/5/2023,Chick-Fil-A,52.18,0,9031,Food,P,N
1/15/2023,Doordash Dashpass,9.99,0,9031,Food,P,N
1/10/2023,Express Food Mart,45.99,0,2675,Food,P,N
1/14/2023,La Madeleine,30.94,0,1,Food,P,N
1/16/2023,McDonalds,29.89,0,9031,Food,P,N
1/9/2023,McDonalds,26.23,0,9031,Food,P,N
1/1/2023,Newks Eatery,12.99,0,9031,Food,P,N
1/14/2023,Saltgrass,130.8,0,3341,Food,P,N
1/2/2023,Villa Fresh Itali,25.11,0,9031,Food,P,N
1/2/2023,Whataburger,40.5,0,9031,Food,P,N
1/17/2023,7-eleven,34.81,0,3341,Gas,B,N
1/16/2023,7-eleven,42.89,0,718,Gas,B,N
1/16/2023,7-eleven,54.62,0,2675,Gas,B,N
1/16/2023,7-eleven,62.19,0,3341,Gas,B,N
1/16/2023,7-eleven,7.33,0,9031,Gas,B,N
1/16/2023,7-eleven,66.31,0,2675,Gas,B,N
1/14/2023,7-eleven,115.32,0,9031,Gas,B,N
1/13/2023,7-eleven,39.36,0,3341,Gas,B,N
1/12/2023,7-eleven,88.64,0,2675,Gas,B,N
1/11/2023,7-eleven,15.89,0,3341,Gas,B,N
1/5/2023,7-eleven,61.35,0,3341,Gas,B,N
1/3/2023,7-eleven,0.22,0,2675,Gas,B,N
1/3/2023,7-eleven,51.82,0,2675,Gas,B,N
1/3/2023,7-eleven,12.44,0,3341,Gas,B,N
1/1/2023,7-eleven,52.03,0,1,Gas,B,N
1/2/2023,Chevron,52.09,0,2675,Gas,B,N
1/13/2023,Circle K,17.79,0,9031,Gas,B,N
1/8/2023,Circle K,40.28,0,718,Gas,B,N
1/4/2023,Circle K,16.63,0,9031,Gas,B,N
1/12/2023,H-E-B Gas,56.82,0,1,Gas,B,N
1/10/2023,Randalls Fuel,44.96,0,9031,Gas,B,N
1/8/2023,Randalls Fuel,91.95,0,2675,Gas,B,N
1/3/2023,Randalls Fuel,52.96,0,9031,Gas,B,N
1/16/2023,H-E-B #,66.3,0,9031,Groceries,P,N
1/15/2023,H-E-B #,64.88,0,3341,Groceries,P,N
1/15/2023,H-E-B #,193.8,0,9031,Groceries,P,N
1/12/2023,H-E-B #,106.77,0,718,Groceries,P,N
1/11/2023,H-E-B #,50.89,0,9031,Groceries,P,N
1/10/2023,H-E-B #,112.31,0,9031,Groceries,P,N
1/4/2023,HEB Online,24.73,0,718,Groceries,P,N
1/2/2023,Target,188.23,0,9031,Groceries,P,N
1/8/2023,Walgreens,107.32,0,9031,Groceries,P,N
1/8/2023,Walgreens,33.99,0,9031,Groceries,P,N
1/7/2023,Walgreens,21.98,0,9031,Groceries,P,N
1/3/2023,Walgreens,36.39,0,9031,Groceries,P,N
1/10/2023,Business Insurance,1982.5,0,0,Insurance,B,Y
1/17/2023,Farmers Insurance,682.74,0,0,Insurance,B,Y
1/5/2023,Farmers Insurance,666,0,0,Insurance,B,Y
1/6/2023,Lincoln Natural Life,105.2,0,0,Insurance,B,Y
1/17/2023,The Guardian,849.54,0,0,Insurance,B,Y
1/17/2023,Check,1660,0,0,Labor,B,N
1/17/2023,Check,848,0,0,Labor,B,N
1/17/2023,Check,1100,0,0,Labor,B,N
1/17/2023,Check,1568.24,0,0,Labor,B,N
1/17/2023,Check,277.05,0,0,Labor,B,N
1/17/2023,Check,675.33,0,0,Labor,B,N
1/17/2023,Check,1584,0,0,Labor,B,N
1/17/2023,Check,1550,0,0,Labor,B,N
1/13/2023,Check,675.33,0,0,Labor,B,N
1/13/2023,Check,675.33,0,0,Labor,B,N
1/5/2023,Check,7900,0,0,Labor,B,N
1/5/2023,Check,1660,0,0,Labor,B,N
1/4/2023,Check,1750,0,0,Labor,B,N
1/4/2023,Check,933.14,0,0,Labor,B,N
1/3/2023,Check,150,0,0,Labor,B,N
1/3/2023,Check,1557.67,0,0,Labor,B,N
1/3/2023,Check,2411.83,0,0,Labor,B,N
1/3/2023,Check,1302,0,0,Labor,B,N
1/3/2023,Check,848,0,0,Labor,B,N
1/3/2023,Check,2072,0,0,Labor,B,N
1/3/2023,Check,277.05,0,0,Labor,B,N
1/3/2023,Check,1584,0,0,Labor,B,N
1/3/2023,Check,2000,0,0,Labor,B,N
1/10/2023,Fortiva,116.66,0,0,Loan,B,Y
1/17/2023,Lending Club,498.15,0,0,Loan,B,Y
1/11/2023,Loan 02,447.78,0,0,Loan,B,Y
1/11/2023,BBB,80,0,3341,Marketing,B,Y
1/10/2023,Randalls,144.32,0,9031,Medical,B,N
1/4/2023,Randalls,129.19,0,9031,Medical,B,N
1/4/2023,Randalls,53.55,0,9031,Medical,B,N
1/3/2023,Randalls,113.45,0,9031,Medical,B,N
1/4/2023,Sana Vida Wellness,149,0,9031,Medical,B,Y
1/17/2023,AT&T,80,0,0,Phones/Internet,B,Y
1/14/2023,AT&T,40.84,0,9031,Phones/Internet,B,N
1/5/2023,AT&T,74.15,0,0,Phones/Internet,B,Y
1/10/2023,Amercian Bolt Company,79.73,0,3341,Professional Service,B,N
1/12/2023,Green Clean Certified,580,0,1,Professional Service,B,N
1/10/2023,Hitechpower,212.5,0,718,Professional Service,B,N
1/10/2023,Hitechpower,292.18,0,718,Professional Service,B,N
1/4/2023,Jack Brown Cleaners,33.07,0,9031,Professional Service,P,N
1/6/2023,Jifiti American Greet,150,0,1,Recreational,B,N
1/1/2023,Ranasar LLC,21.59,0,9031,Recreational,P,N
1/17/2023,Deposit,0,15904.67,0,Revenue,B,N
1/14/2023,Deposit,0,200,2675,Revenue,B,N
1/13/2023,Deposit,0,3950,0,Revenue,B,N
1/13/2023,Deposit,0,6273.09,0,Revenue,B,N
1/12/2023,Deposit,0,6973.44,0,Revenue,B,N
1/11/2023,Deposit,0,2048.88,1,Revenue,B,N
1/10/2023,Deposit,0,963.34,0,Revenue,B,N
1/9/2023,Deposit,0,487.13,0,Revenue,B,N
1/9/2023,Deposit,0,2382.95,0,Revenue,B,N
1/7/2023,Deposit,0,6029.53,0,Revenue,B,N
1/5/2023,Deposit,0,105.48,0,Revenue,B,N
1/4/2023,Deposit,0,893.06,0,Revenue,B,N
1/4/2023,Deposit,0,571.56,0,Revenue,B,N
1/4/2023,Deposit,0,571.56,0,Revenue,B,N
1/4/2023,Deposit,0,2048.88,0,Revenue,B,N
1/3/2023,Deposit,0,2054.59,0,Revenue,B,N
1/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
1/11/2023,Apple,7.57,0,9031,Software,B,Y
1/8/2023,Apple,8.65,0,9031,Software,B,Y
1/5/2023,Apple,2.99,0,718,Software,B,Y
1/1/2023,Apple,14.06,0,718,Software,B,Y
1/10/2023,Microsoft,29.84,0,1,Software,B,Y
1/10/2023,Microsoft 365,13.54,0,1,Software,B,Y
1/17/2023,Amazon,21.63,0,9031,Supplies,B,N
1/15/2023,Amazon,43.29,0,9031,Supplies,B,N
1/15/2023,Amazon,46.53,0,9031,Supplies,B,N
1/4/2023,eBay,238.1,0,9031,Supplies,B,N
1/3/2023,Financial Pacific,524.83,0,0,Supplies,B,Y
1/16/2023,Home Depot,28.11,0,2675,Supplies,B,N
1/11/2023,Home Depot,47.46,0,3341,Supplies,B,N
1/11/2023,Home Depot,94.44,0,2675,Supplies,B,N
1/10/2023,Home Depot,44.9,0,2675,Supplies,B,N
1/9/2023,Home Depot,35.66,0,2675,Supplies,B,N
1/6/2023,Home Depot,53,0,9031,Supplies,B,N
1/5/2023,Home Depot,12.18,0,2675,Supplies,B,N
1/1/2023,HP Instant Ink,12.98,0,1,Supplies,B,Y
1/14/2023,Kim Paper,24.36,0,3341,Supplies,B,N
1/14/2023,Lowes,28.08,0,2675,Supplies,B,N
1/5/2023,Lowes,102.79,0,2675,Supplies,B,N
1/4/2023,Outdoor Power Equipment,184.01,0,2675,Supplies,B,N
1/14/2023,Pro Serve Enterprise,423.51,0,3341,Supplies,B,N
1/12/2023,Gusto,2371.77,0,0,Tax,B,N
1/17/2023,Tax,2500,0,0,Tax,B,N
1/3/2023,Tax,10951.89,0,0,Tax,B,N
1/16/2023,TxTag,20,0,9031,Toll,B,N
1/14/2023,TxTag,30,0,3341,Toll,B,N
1/13/2023,TxTag,71.63,0,9031,Toll,B,N
1/13/2023,TxTag,20,0,9031,Toll,B,N
1/13/2023,TxTag,10,0,9031,Toll,B,N
1/14/2023,RMA Toll,23.82,0,3341,Toll,B,N
1/14/2023,RMA Toll,16.49,0,3341,Toll,B,N
1/14/2023,RMA Toll,38.52,0,3341,Toll,B,N
1/13/2023,RMA Toll,34.38,0,9031,Toll,B,N
1/5/2023,City of Austin,133.88,0,0,Utilities,B,Y
1/4/2023,Crossroads Utilities,37.69,0,718,Utilities,B,Y
1/4/2023,Texas Gas Service,123.97,0,718,Utilities,B,Y
1/14/2023,ATM,303.75,0,3341,Withdrawal,B,N
1/14/2023,ATM,200,0,2675,Withdrawal,B,N
1/3/2023,ATM,700,0,9031,Withdrawal,B,N
1/4/2023,Venmo,300,0,0,Withdrawl,B,N
