Date,Description,Debit,Credit,Cards,Purchase Type
3/31/2024,7Eleven,31.41,0,2591,Gas
3/30/2024,7Eleven,48.97,0,2994,Gas
3/25/2024,7Eleven,50.01,0,2591,Gas
3/22/2024,7Eleven,100.17,0,2591,Gas
3/22/2024,7Eleven,36.47,0,2591,Gas
3/22/2024,7Eleven,63.28,0,0940,Gas
3/14/2024,7Eleven,54.73,0,2591,Gas
3/9/2024,7Eleven,51.26,0,0940,Gas
3/6/2024,7Eleven,11.9,0,0940,Gas
3/5/2024,7Eleven,49.86,0,2591,Gas
3/1/2024,7Eleven,62.96,0,2591,Gas
2/29/2024,7Eleven,30.52,0,2591,Gas
2/16/2024,7Eleven,42.44,0,0940,Gas
2/12/2024,7Eleven,35.71,0,0940,Gas
2/4/2024,7Eleven,52.91,0,2591,Gas
2/1/2024,7Eleven,21.09,0,2994,Gas
1/28/2024,7Eleven,48.41,0,2591,Gas
1/27/2024,7Eleven,46.28,0,0940,Gas
1/12/2024,7Eleven,56.37,0,0940,Gas
1/9/2024,7Eleven,42.21,0,2591,Gas
2/22/2024,A Plus Outdoor,155.18,0,2591,Supplies
2/8/2024,A Plus Outdoor,100,0,2591,Supplies
2/26/2024,A&A Autorepair,360.65,0,0940,Auto Maintenance
2/22/2024,A&A Autorepair,1073.47,0,2591,Auto Maintenance
1/1/2024,A&A Autorepair,2847.77,0,7805,Auto Maintenance
3/8/2024,Adobe,21.64,0,2591,Software
2/10/2024,Adobe,21.64,0,2591,Software
1/11/2024,Adobe,21.64,0,2591,Software
3/28/2024,All Star Grocery,36.42,0,2591,Groceries
2/17/2024,All Star Grocery,37.37,0,2591,Groceries
1/9/2024,All Star Grocery,82.68,0,2591,Groceries
4/4/2024,Allstate,45.99,0,0,Insurance
3/6/2024,Allstate,65.32,0,0,Insurance
3/5/2024,Allstate,45.98,0,0,Insurance
2/14/2024,Allstate,0,1223.68,0,Insurance
2/7/2024,Allstate,983.61,0,0,Insurance
2/7/2024,Allstate,65.32,0,0,Insurance
2/6/2024,Allstate,52.08,0,0,Insurance
1/9/2024,Allstate,987.11,0,0,Insurance
1/9/2024,Allstate,67.82,0,0,Insurance
1/9/2024,Allstate,54.58,0,0,Insurance
3/27/2024,Ally,509.98,0,0,Loan
2/27/2024,Ally,509.98,0,0,Loan
1/29/2024,Ally,509.98,0,0,Loan
3/7/2024,American Express,550,0,0,Credit Card
2/12/2024,American Express,595,0,0,Credit Card
2/12/2024,American Express,37.52,0,0,Credit Card
1/22/2024,American Express,940.42,0,0,Credit Card
1/11/2024,American Express,922,0,0,Credit Card
3/6/2024,Appalachian Underwriters,803.37,0,0,Insurance
2/6/2024,Appalachian Underwriters,803.37,0,0,Insurance
1/3/2024,Appalachian Underwriters,1438.4,0,0,Insurance
4/5/2024,Apple,2.99,0,2591,Software
3/23/2024,Apple,16.23,0,2591,Software
3/6/2024,Apple,4.32,0,2591,Software
3/6/2024,Apple,2.99,0,2591,Software
2/19/2024,Apple,16.23,0,2591,Software
2/5/2024,Apple,2.99,0,2591,Software
1/19/2024,Apple,16.23,0,2591,Software
1/12/2024,Apple,2.99,0,2591,Software
3/27/2024,At&t,619.21,0,0,Phone/Internet
3/26/2024,At&t,120.16,0,0940,Phone/Internet
3/21/2024,At&t,60.54,0,0,Phone/Internet
3/9/2024,At&t,649.96,0,0940,Phone/Internet
2/27/2024,At&t,598.08,0,0,Phone/Internet
2/20/2024,At&t,60.54,0,0,Phone/Internet
1/29/2024,At&t,489.24,0,0,Phone/Internet
1/18/2024,At&t,60.54,0,0,Phone/Internet
1/13/2024,At&t,207.44,0,2994,Phone/Internet
3/22/2024,ATM Withdrawl,200,0,0940,Withdrawal
3/21/2024,ATM Withdrawl,120,0,2591,Withdrawal
1/23/2024,ATM Withdrawl,100,0,2591,Withdrawal
3/27/2024,Atmos Energy,97.16,0,0,Utilities
3/7/2024,Atmos Energy,564.65,0,0,Utilities
1/3/2024,Atmos Energy,149.88,0,2994,Utilities
1/24/2024,Austin Tool,21.6,0,2591,Supplies
4/5/2024,Bank Fee,34,0,0,Fee
4/5/2024,Bank Fee,34,0,0,Fee
4/5/2024,Bank Fee,34,0,0,Fee
4/5/2024,Bank Fee,34,0,0,Fee
4/5/2024,Bank Fee,34,0,0,Fee
4/5/2024,Bank Fee,26.08,0,0,Fee
4/4/2024,Bank Fee,7.92,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/4/2024,Bank Fee,34,0,0,Fee
4/3/2024,Bank Fee,34,0,0,Fee
4/3/2024,Bank Fee,34,0,0,Fee
4/2/2024,Bank Fee,34,0,0,Fee
3/31/2024,Bank Fee,26.5,0,0,Fee
3/31/2024,Bank Fee,6,0,0,Fee
2/29/2024,Bank Fee,26.75,0,0,Fee
2/29/2024,Bank Fee,6,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/9/2024,Bank Fee,34,0,0,Fee
2/8/2024,Deposit,0,34,0,Revenue
2/8/2024,Deposit,0,34,0,Revenue
2/8/2024,Deposit,0,34,0,Revenue
2/8/2024,Deposit,0,34,0,Revenue
2/8/2024,Deposit,0,34,0,Revenue
1/31/2024,Bank Fee,23,0,0,Fee
1/31/2024,Bank Fee,6,0,0,Fee
1/31/2024,Bank Fee,4,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,30.54,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/18/2024,Bank Fee,3.46,0,0,Fee
1/18/2024,Bank Fee,34,0,0,Fee
1/17/2024,Bank Fee,24,0,0,Fee
1/5/2024,Bank Fee,34,0,0,Fee
1/5/2024,Bank Fee,34,0,0,Fee
1/5/2024,Bank Fee,34,0,0,Fee
1/31/2024,Bank Fee,6,0,0,Fee
4/3/2024,Bank of America,877.05,0,0,Loan
3/22/2024,Bank of America,877.05,0,0,Loan
2/6/2024,Bank of America,950.9,0,0,Loan
2/6/2024,Bank of America,0.48,0,0,Loan
2/6/2024,Bank of America,0,0.29,0,Loan
2/6/2024,Bank of America,0,0.19,0,Loan
3/11/2024,BBB,80,0,2994,Marketing
