Date,Check,Description,Debit,Credit,Cards,Purchase Type
1/1/2024,0,A&A Automechanic,2847.77,0,7805,Auto Maintenance
2/22/2024,0,A&A Automechanic,1073.47,0,2591,Auto Maintenance
2/26/2024,0,A&A Automechanic,360.65,0,0940,Auto Maintenance
7/31/2024,0,A&A Automechanic,834.67,0,0940,Auto Maintenance
8/21/2024,0,A&A Automechanic,372.84,0,0940,Auto Maintenance
5/8/2024,0,Advance Auto Parts,10.81,0,2591,Auto Maintenance
4/2/2024,0,Austin Tire Man,265,0,2591,Auto Maintenance
5/22/2024,0,Austin Tire Man,295,0,2591,Auto Maintenance
5/16/2024,0,Autozone,17.31,0,2591,Auto Maintenance
5/16/2024,0,Autozone,125.3,0,2591,Auto Maintenance
5/20/2024,0,Autozone,15.14,0,2591,Auto Maintenance
5/4/2024,0,Autozone,29.22,0,2591,Auto Maintenance
7/14/2024,0,Go Car Wash,12,0,0940,Auto Maintenance
2/28/2024,0,Heb Gas Carwash,58.04,0,2994,Auto Maintenance
3/29/2024,0,Heb Gas Carwash,56.74,0,0940,Auto Maintenance
7/22/2024,0,Heb Gas Carwash,49.17,0,2591,Auto Maintenance
8/23/2024,0,Hills Country Food Mart,58.09,0,0940,Auto Maintenance
2/6/2024,0,Jaimes Automotors,18.5,0,2591,Auto Maintenance
4/26/2024,0,Jaimes Automotors,19.05,0,2591,Auto Maintenance
6/25/2024,0,Jaimes Automotors,19.05,0,0940,Auto Maintenance
3/13/2024,0,Llano County Vehicle Registration,76.25,0,2591,Auto Maintenance
6/26/2024,0,Llantera Ibarra,25,0,0940,Auto Maintenance
8/19/2024,0,Llantera Ibarra,54,0,0940,Auto Maintenance
5/15/2024,0,Mercedes Benz,296.17,0,2591,Auto Maintenance
6/22/2024,0,Mister Car Wash,25,0,0940,Auto Maintenance
8/31/2024,0,Mister Car Wash,25,0,0940,Auto Maintenance
2/6/2024,0,Oreilly,4.86,0,2591,Auto Maintenance
1/7/2024,0,Shell Service Station,61.91,0,2591,Auto Maintenance
