Posting Date,Description,Credit,Debit,Balance,Transaction Type,Monthly
8/23/2022,Online Transfer from CHK ...6766 transaction#: 15119091443,250.00,,582.71,Deposit,N
8/22/2022,ATM CASH DEPOSIT 08/20 1200 N BELL BLVD CEDAR PARK TX,890.00,,690,Deposit,N
8/19/2022,ODP TRANSFER FROM SAVINGS 000002990210920,59.53,,59.53,Deposit,N
8/18/2022,ODP TRANSFER FROM SAVINGS 000002990210920,35.21,,49.23,Deposit,N
8/5/2022,Online Transfer from SAV ...3016 transaction#: 14984839821,600.00,,871.96,Deposit,N
8/4/2022,Online Transfer from SAV ...3016 transaction#: 14974927570,300.00,,563.33,Deposit,N
8/2/2022,Zelle payment from CAROLINA VERDUZCO BACld7elqf66,40.00,,484.55,Deposit,N
7/26/2022,INTEREST PAYMENT,0.02,,2135.7,Deposit,N
7/25/2022,Online Transfer from SAV ...3016 transaction#: 14889329384,700.00,,4527.81,Deposit,N
7/21/2022,Online Transfer from SAV ...3016 transaction#: 14862039328,1000.00,,5858.78,Deposit,N
7/13/2022,Online Transfer from CHK ...6766 transaction#: 14799914091,40.00,,4132.19,Deposit,N
7/8/2022,Online Transfer from CHK ...6766 transaction#: 14764740929,100.00,,499.87,Deposit,N
7/7/2022,Guardian Life INSUR DISB                 PPD ID: 9970011000,26124.32,,27208.48,Deposit,N
7/5/2022,ATM CASH DEPOSIT 07/05 1200 N BELL BLVD CEDAR PARK TX,60.00,,2163.2,Deposit,N
7/5/2022,ATM CASH DEPOSIT 07/05 1200 N BELL BLVD CEDAR PARK TX,1500.00,,2103.2,Deposit,N
7/5/2022,ATM CASH DEPOSIT 07/05 1200 N BELL BLVD CEDAR PARK TX,1924.00,,603.2,Deposit,N
8/26/2022,Online Transfer to  MMA ...0920 transaction#: 15086844108 08/26,,20.00,106.59,Savings,Y
8/25/2022,Zelle payment to Carolina G JPM999fghyww,,25.00,126.59,Miscellaneous,N
8/25/2022,ATMOS ENERGY RCR UTIL PYMT  004010813842    WEB ID: 9000000091,,80.58,151.59,Utilities,Y
8/24/2022,AMERICAN GEN LIF INS PAYMT  095704024179    TEL ID: 4250598210,,44.54,232.17,Insurance,Y
8/23/2022,MONTHLY SERVICE FEE,,25.00,276.71,Fee,Y
8/23/2022,VIVINT INC/US 800-216-5232 UT                08/23,,80.25,301.71,Software,Y
8/23/2022,CITY OF CEDAR PARK 512-4015000 TX            08/22,,200.75,381.96,Utilities,Y
8/22/2022,Online Transfer to  MMA ...0920 transaction#: 15032473314 08/22,,20.00,332.71,Savings,Y
8/22/2022,PAYPAL           INST XFER  ANCESTRYCOM     WEB ID: PAYPALSI77,,45.74,352.71,Software,N
8/22/2022,LA MADELEINE LAKELINE HOUSTON TX             08/20,,41.06,398.45,Food/Entertainment,N
8/22/2022,PEDERNALES ELECTRIC SMARTHUB.PEC. TX         08/19,,250.49,439.51,Utilities,Y
8/19/2022,ALLSTATE INS CO  INS PREM   000000416726250 WEB ID: 1360719665,,59.53,-200,Insurance,Y
8/19/2022,CAPITAL ONE      CRCARDPMT  3MBH8M6WQANUL3A WEB ID: 9541719318,,-200.00,-140.47,Credit Card,Y
8/18/2022,ALLSTATE INS CO  INS PREM   000000416726183 WEB ID: 1360719665,,-49.23,0,Insurance,Y
8/15/2022,COMENITY PAY OH  WEB PYMT   P22224109217561 WEB ID: 1651180275,,-6.19,14.02,?,
8/12/2022,Online Transfer to  MMA ...0920 transaction#: 14979760730 08/12,,-20.00,20.21,Savings,N
8/8/2022,PAYPAL           INST XFER  HULU            WEB ID: PAYPALSI77,,-2.15,40.21,Software,Y
8/8/2022,Kindle Unltd*9457C7BX 866-321-8851 WA        08/07,,-10.81,42.36,Software,Y
8/8/2022,DOUBLEDAVES PIZZAWORKS 512-4021555 TX        08/06,,-50.79,53.17,Food/Entertainment,N
8/8/2022,Online Transfer to CHK ...6766 transaction#: 14992320806 08/08,,-350.00,103.96,Miscellaneous,N
8/8/2022,RPY*AUSTIN RADIOLOGICAL AUSTIN TX            08/05,,-206.86,453.96,Miscellaneous,N
8/5/2022,LOWE'S #2513 AUSTIN TX               076189  08/05,,-9.18,660.82,Supplies,N
8/5/2022,Online Transfer to  MMA ...0920 transaction#: 14918157036 08/05,,-20.00,670,Savings,N
8/5/2022,EARTHBOUND LAKELINE 393 CEDAR PARK TX        08/04,,-38.70,690,Miscellaneous,N
8/5/2022,RDA NORTH AUSTIN 512-4677566 TX              08/04,,-67.43,728.7,Miscellaneous,N
8/5/2022,EL POLLO RICO 12 AUSTIN TX                   08/04,,-42.25,796.13,Food/Entertainment,N
8/5/2022,FEDEX 276355612152 MEMPHIS TN                08/04,,-33.58,838.38,?,
8/4/2022,PAYPAL           INST XFER                  WEB ID: PAYPALSI77,,-265.04,271.96,?,
8/4/2022,DILLARDS 735 LAKELINE CEDAR PARK TX  103962  08/04,,-26.33,537,Food/Entertainment,N
8/2/2022,Zelle payment to Carolina Verduzco JPM999en9ue6,,-40.00,263.33,Miscellaneous,N
8/2/2022,H-E-B #265 CEDAR PARK TX             626788  08/02,,-81.22,303.33,Groceries,N
8/2/2022,WALGREENS #7061 CEDAR PARK TX                08/01,,-100.00,384.55,Groceries,N
8/1/2022,7-ELEVEN AUSTIN TX                   245828  08/01,,-2.50,444.55,Food/Entertainment,N
8/1/2022,WELLS FARGO BANK RESERVE    1001            TEL ID: WFRETAIL01,,-986.15,447.05,Loan,Y
8/1/2022,WALGREENS STORE 1505 W CEDAR PARK TX 161612  07/31,,-14.00,1433.2,Groceries,N
8/1/2022,TAKARA SUSHI & ASIAN BI CEDAR PARK TX        07/30,,-122.84,1447.2,Food/Entertainment,N
8/1/2022,EXXONMOBIL    48349336 CEDAR PARK TX         07/30,,-10.28,1570.04,Gas,N
8/1/2022,LAKE LINE FOOD STOP CEDAR PARK TX            07/29,,-18.47,1580.32,Food/Entertainment,N
7/29/2022,Zelle payment to Carolina Verduzco JPM999egzkek,,-300.00,1598.79,Miscellaneous,N
7/29/2022,Online Transfer to  MMA ...0920 transaction#: 14866251489 07/29,,-20.00,1898.79,Savings,N
