Post Date,Description,Debit,Credit
9/15/2022,GRAINGER 5085005902 0915105600 225815602863                    09,204.86,
9/15/2022,P. TERRYS STAND 5812010740 0915110438 225887543841                    09,12.07,
9/14/2022,EL POLLO RICO 9 5812033826 0914133527 225747363088                    09,22.01,
9/15/2022,Withdrawal DEBIT CARD/MOD PIZZA CEDAR PARK CEDAR PARK TX Date 09/14/22 24692162258105869486677 Card 4969Merchant Category Code: 5812,27.34,
9/15/2022,Withdrawal ACH IRS/TYPE: USATAXPYMT ID: 3387702000 CO: IRS,2500,
9/15/2022,"Deposit Bulk/Checks 10,100.56 Check Count 8 Deposit Number 0000012",,10100.56
9/15/2022,Withdrawal DEBIT CARD/CRICKET WRLS #80213127 LEANDER TX Date 09/14/22 24692162258105656827513 Card 3341Merchant Category Code: 4812,72,
9/15/2022,Recurring Withdrawal DEBIT CARD/DOORDASH DASHPASS WWW.DOORDASH. CA Date 09/15/22 24011342258000010525147 Card 4969Merchant Category Code: 5812,9.99,
9/15/2022,Withdrawal ACH THE GUARDIAN/TYPE: INSUR PREM ID: 9555845001 CO: THE GUARDIAN,849.54,
9/15/2022,Withdrawal ACH DISCOVER/TYPE: E-PAYMENT ID: 3510020270 DATA: DC PYMNTS DCIDPIINT CO: DISCOVER NAME: HERNANDEZ SALVADOR,500,
9/15/2022,Withdrawal ACH CAPITAL ONE/TYPE: CRCARDPMT ID: 9541719018 CO: CAPITAL ONE,300,
9/15/2022,Withdrawal ACH HUMANA COMPBENEF/TYPE: 7709988936 ID: 2591843760 CO: HUMANA COMPBENEF,50.74,
9/15/2022,Recurring Withdrawal DEBIT CARD/INNOVATIVE URGENT CAREFAM 210-4556253 TX Date 09/14/22 24755422257272578678516 Card 4969Merchant Category Code: 8011,35,
9/15/2022,Withdrawal DEBIT CARD/IN *LEFT HAND DESIGN LLC 512-7965512 TX Date 09/14/22 24692162257105504542703 Card 3341Merchant Category Code: 8999,557.49,
9/14/2022,Check 2698 Tracer 829300000313991,420,
9/14/2022,"Withdrawal DEBIT CARD/AVR, INC. 866-5131550 TX Date 09/13/22 24794872257900016352158 Card 0718Merchant Category Code: 5045",0.05,
9/14/2022,Withdrawal DEBIT CARD/TRAVIS CO WCID NO 10 512-2461400 TX Date 09/13/22 24794872257900015008769 Card 0718Merchant Category Code: 4900,1.09,
9/14/2022,Withdrawal POS #225722932801/POS NST THE HOME DEPOT 001994 3600 INTERSTATE HWY 35 AUSTIN TX Card 2675Merchant Category Code: 5200,12.95,
9/14/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: INSPAYMENT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,661.91,
